State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Wisconsin,"5,034","8,442","6,486","4,357","5,580","7,907","8,339","7,381","7,306","6,727","6,189","6,245","6,049","5,918","5,997","6,655","7,111","6,681","7,433"
Wyoming,247,306,278,253,304,321,376,380,458,429,452,420,427,522,414,539,462,444,409
Other1,"1,557","1,531","1,227","1,140","1,077",937,"1,366","1,047","1,117","1,495","1,694","1,480","1,667","1,379","1,336","1,116","1,225","1,413","1,212"
Unknown,-,15,8,7,6,9,1,1,-,2,-,-,-,-,1,202,"1,809",820,624
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
