Table 3.,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2000 TO 2009,,,,,,,,,,
,,,,,,,,,,
Region and country of birth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Nigeria,"7,831","8,253","8,105","7,872","9,374","10,597","13,459","12,448","12,475","15,253"
Norway,459,547,431,320,405,423,481,343,350,407
Oman,51,55,61,76,122,101,155,103,70,74
Pakistan,"14,504","16,393","13,694","9,415","12,086","14,926","17,418","13,492","19,719","21,555"
Palau,3,3,10,8,6,8,8,11,6,16
Panama,"1,829","1,867","1,680","1,164","1,417","1,815","2,418","1,916","1,678","1,806"
Papua New Guinea,21,26,26,34,19,44,30,31,15,19
Paraguay,338,401,356,207,328,516,719,545,481,530
Peru,"9,579","11,062","11,918","9,409","11,794","15,676","21,718","17,699","15,184","16,957"
Philippines,"42,343","52,919","51,040","45,250","57,846","60,746","74,606","72,596","54,030","60,029"
Poland,"10,090","11,769","12,711","10,510","14,326","15,351","17,051","10,355","8,354","8,754"
Portugal,"1,343","1,609","1,313",808,"1,069","1,125","1,409","1,019",772,946
Qatar,97,125,108,72,125,174,226,138,151,134
Romania,"6,863","6,628","4,887","3,655","4,571","7,103","7,137","5,802","4,930","4,910"
Russia,"16,940","20,313","20,771","13,935","17,410","18,055","13,159","9,426","11,695","8,238"
Rwanda,73,148,217,109,163,276,502,357,378,952
Saint Kitts-Nevis,500,463,342,310,299,342,458,347,363,310
Saint Lucia,599,674,583,488,616,832,"1,212",928,946,"1,027"
Saint Vincent and the Grenadines,497,559,480,322,400,625,756,567,568,591
Samoa,184,165,157,178,203,173,283,290,227,250
Sao Tome and Principe,8,D,4,D,9,8,6,7,7,11
Saudi Arabia,"1,063","1,178","1,014",735,906,"1,210","1,542","1,171","1,194","1,418"
Senegal,554,663,530,522,769,913,"1,367","1,024","1,149","1,524"
Serbia and Montenegro2,"2,742","6,203","10,387","2,994","3,331","5,202","5,891","3,586","3,255","3,166"
Seychelles,18,18,20,16,25,16,15,7,16,10
Sierra Leone,"1,585","1,878","2,246","1,492","1,596","2,731","3,572","1,999","2,795","2,687"
Singapore,668,"1,100","1,033",582,966,"1,204",997,985,922,832
Slovakia,549,809,725,674,800,965,"1,111",763,653,706
Slovenia,76,142,140,64,88,114,115,87,79,108
Solomon Islands,7,7,7,5,6,3,5,10,7,D
Somalia,"2,393","3,007","4,535","2,444","3,929","5,829","9,462","6,251","10,745","13,390"
South Africa,"2,824","4,090","3,861","2,210","3,370","4,536","3,201","2,988","2,723","3,171"
Soviet Union (former),"3,263","2,707","2,403","1,072",929,"2,899","6,229","5,090","5,270","5,911"
Spain,"1,254","1,711","1,361",917,"1,339","1,888","1,971","1,578","1,621","1,769"
Sri Lanka,"1,118","1,505","1,529","1,246","1,431","1,894","2,191","1,831","1,935","2,009"
Sudan,"1,531","1,650","2,921","1,883","3,211","5,231","5,504","2,930","3,598","3,577"
Suriname,256,245,247,180,166,300,314,197,218,227
Swaziland,12,18,12,23,15,16,11,13,18,42
Sweden,"1,264","1,682","1,376",963,"1,270","1,517","1,376","1,145","1,019","1,138"
Switzerland,"1,029","1,298","1,004",632,855,"1,092",983,705,720,798
Syria,"2,367","3,350","2,557","1,938","2,256","2,831","2,918","2,385","2,641","2,442"
Taiwan,"9,019","12,120","9,775","6,917","9,005","9,196","8,086","8,990","9,073","8,038"
Tajikistan,156,187,181,137,167,207,239,172,231,265
Tanzania,480,476,577,554,747,829,949,832,838,"2,773"
Thailand,"3,753","4,245","4,144","3,126","4,318","5,505","11,749","8,751","6,637","10,444"
Togo,386,487,935,"1,187","2,041","1,523","1,720","1,565","1,661","1,680"
Tonga,349,327,331,238,327,309,437,438,365,379
Trinidad and Tobago,"6,635","6,618","5,738","4,138","5,384","6,568","8,854","6,829","5,937","6,256"
Tunisia,307,438,540,353,457,495,510,417,410,416
Turkey,"2,606","3,215","3,375","3,029","3,835","4,614","4,941","4,425","4,210","4,958"
Turkmenistan,97,94,93,84,117,148,248,217,274,290
Turks and Caicos Islands,46,33,31,26,28,34,52,31,35,31
U.S. Virgin Islands,3,6,9,4,13,8,7,3,D,D
Uganda,418,457,575,455,721,858,"1,372","1,122","1,174","1,364"
Ukraine,"15,511","20,914","21,190","11,633","14,156","22,745","17,140","11,001","10,813","11,223"
United Arab Emirates,435,460,472,380,586,812,"1,006",758,693,697
United Kingdom,"13,273","18,278","16,297","9,527","14,915","19,800","17,207","14,545","14,348","15,748"
United States,35,63,64,32,57,183,333,171,216,181
Uruguay,426,541,536,469,787,"1,154","1,664","1,418","1,451","1,775"
Uzbekistan,"1,631","2,031","2,317","1,445","1,995","2,887","4,015","4,665","6,375","5,467"
Venezuela,"4,693","5,170","5,228","4,018","6,220","10,645","11,341","10,692","10,514","11,154"
Vietnam,"26,553","35,419","33,563","22,087","31,524","32,784","30,691","28,691","31,497","29,234"
Yemen,"1,789","1,607","1,227","1,382","1,760","3,366","4,308","2,396","1,872","3,134"
Zambia,211,295,308,280,359,499,672,576,613,704
Zimbabwe,322,475,484,358,628,923,"1,049","1,057",953,983
All other countries,35,42,52,32,33,52,40,28,25,40
Unknown,"1,172","2,311","2,622","1,201","3,227","5,303","2,734","1,394","1,394","1,366"
NA Not available.,,,,,,,,,,
D Data withheld to limit disclosure.,,,,,,,,,,
- Represents zero.,,,,,,,,,,
1  Data for South Korea prior to Fiscal Year 2009 include a small number of cases from North Korea. ,,,,,,,,,,
"2 Yugoslavia (unknown republic) prior to February 7, 2003.",,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
