,Region and country of birth,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998 1,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
55,Uzbekistan, X , X , X , 1712 , 2664 , 3435 , 3645 , 4687 , 3312 ,601,1223,1631,2031,2317,1445,1995,2887,4015,4665,6375,5467,4770,5056,4726,4382,5194,3977,4359,4095,4612
58,Afghanistan, 3232 , 3187 , 2879 , 2685 , 2964 , 2344 , 1424 , 1263 , 1129 ,831,878,1011,1202,1759,1252,2137,4749,3417,1753,2813,3165,2017,1648,1617,2196,10527,8328,12513,19538,12935
59,Bahrain, 47 , 58 , 58 , 81 , 93 , 87 , 78 , 76 , 80 ,53,70,106,118,85,59,116,140,148,133,96,120,104,119,104,115,122,145,138,130,143
60,Bangladesh, 2180 , 4252 , 10676 , 3740 , 3291 , 3434 , 6072 , 8221 , 8681 ,8621,6046,7204,7152,5483,4616,8061,11487,14644,12074,11753,16651,14819,16707,14705,12099,14645,13570,18723,14693,15717
61,Bhutan, 1 , 1 , 2 , 1 , 2 , 2 , 2 , 8 , 6 ,6,4,D,5,14,15,17,30,78,52,42,594,6109,10137,10198,8954,7298,6325,4217,2940,2350
62,Brunei, 16 , 16 , 15 , 17 , 26 , 14 , 14 , 20 , 6 ,19,16,16,27,28,20,22,49,25,32,18,26,20,25,19,21,25,21,31,24,29
63,Burma, 1170 , 1120 , 946 , 816 , 849 , 938 , 1233 , 1320 , 1085 ,1371,1204,1201,1373,1356,1193,1379,2095,4562,3130,3403,13621,12925,16518,17383,12565,11144,12808,13065,12897,8182
64,Cambodia, 6076 , 5179 , 3251 , 2573 , 1639 , 1404 , 1492 , 1568 , 1638 ,1439,1400,2138,2462,2800,2263,3553,4022,5773,4246,3713,3771,2986,2745,2473,2624,2536,1868,3173,4056,3187
65,China People's Republic, 32272 , 31815 , 33025 , 38907 , 65578 , 53985 , 35463 , 41728 , 41147 ,36884,32204,45585,56267,61082,40568,55494,69933,87307,76655,80271,64238,70863,87016,81784,71798,76089,74558,81772,71565,65214
66,Cyprus, 284 , 316 , 243 , 262 , 229 , 204 , 188 , 187 , 148 ,119,107,160,216,158,123,143,196,180,137,141,142,122,101,107,126,129,113,131,117,120
67,Hong Kong, 9740 , 9393 , 10427 , 10452 , 9161 , 7731 , 7249 , 7834 , 5577 ,5275,4917,5407,8300,6075,3574,3951,3705,3256,3527,3373,2651,2432,2306,2104,2226,2278,2085,2510,2415,2075
68,India, 31175 , 30667 , 45064 , 36755 , 40121 , 34921 , 34748 , 44859 , 38071 ,36482,30237,41903,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162,69013,66434,68458,77908,64116,64687,60394,59821
69,Indonesia, 1513 , 3498 , 2223 , 2916 , 1767 , 1367 , 1020 , 1084 , 906 ,1020,1187,1767,2525,2418,1805,2419,3924,4868,3716,3606,3679,3032,2856,2603,2731,2139,2084,2129,1914,1756
70,Iran, 21243 , 24977 , 19569 , 13233 , 14841 , 11422 , 9201 , 11084 , 9642 ,7883,7203,8487,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182,14822,12916,12863,11615,13114,13298,13791,10116
71,Iraq, 1516 , 1756 , 1494 , 4111 , 4072 , 6025 , 5596 , 5481 , 3244 ,2220,3372,5087,4965,5174,2450,3494,4077,4337,3765,4795,12110,19855,21133,20369,9552,19153,21107,18904,14203,14351
72,Israel, 4244 , 4664 , 4181 , 5104 , 4494 , 3425 , 2523 , 3126 , 2448 ,1991,1858,2783,3744,3826,2741,4160,5755,5943,4496,5851,5612,4515,3826,4153,3996,3805,3965,4142,3802,3706
73,Japan, 4849 , 5734 , 5049 , 11028 , 6908 , 6093 , 4837 , 6011 , 5097 ,5138,4217,7049,9578,8248,5971,7697,8768,8265,6748,6821,7690,6264,6161,6061,5925,5545,5395,5207,4635,4317
74,Jordan, 3921 , 4449 , 4259 , 4036 , 4741 , 3990 , 3649 , 4445 , 4171 ,3255,3274,3900,4572,3964,2927,3431,3748,4038,3917,3936,4282,3868,3876,4099,4188,5187,4664,5269,5264,5322
76,Kuwait, 710 , 691 , 861 , 989 , 1129 , 1065 , 961 , 1202 , 837 ,749,803,1015,1258,1056,707,1091,1152,1230,1017,1104,1124,1037,973,1044,937,1057,1055,1186,1177,1090
77,Laos, 12524 , 10446 , 9950 , 8696 , 7285 , 5089 , 3936 , 2847 , 1935 ,1612,854,1358,1398,1245,896,1147,1242,2892,2575,2198,1688,1200,956,949,923,806,917,856,685,863
78,Lebanon, 5716 , 5634 , 6009 , 5838 , 5465 , 4319 , 3884 , 4382 , 3568 ,3290,3040,3662,4579,3935,2956,3818,4282,4083,4267,4254,3831,3487,3295,2879,2783,3245,2813,2971,2818,2581
79,Macau, 246 , 301 , 267 , 320 , 334 , 287 , 373 , 453 , 277 ,276,294,270,340,284,244,192,133,189,178,205,158,143,130,120,106,105,99,109,109,91
80,Malaysia, 1506 , 1867 , 1860 , 2235 , 2026 , 1480 , 1223 , 1414 , 1051 ,1011,994,1551,2439,2124,1200,1987,2632,2281,2149,1945,2014,1714,2273,2605,2477,2622,2749,3382,4109,3051
81,Maldives, - , - , 1 , - , 2 , - , 1 , 1 , 1 ,1,-,D,9,9,15,7,6,D,9,D,6,5,3,3,5,13,8,11,5,D
82,Mongolia, - , - , 2 , 6 , 8 , 21 , 17 , 17 , 22 ,26,41,46,102,135,153,229,323,497,530,659,831,594,774,691,729,651,644,750,661,636
83,Nepal, 134 , 184 , 174 , 212 , 257 , 257 , 312 , 431 , 447 ,476,453,616,945,1137,2095,2878,3158,3733,3472,4093,4514,7115,10166,11312,13046,12357,12926,12851,11610,11953
84,Oman, 18 , 9 , 5 , 24 , 21 , 32 , 31 , 25 , 36 ,25,40,51,55,61,76,122,101,155,103,70,74,63,60,74,73,90,85,116,104,110
85,Pakistan, 8000 , 9729 , 20355 , 10214 , 8927 , 8698 , 9774 , 12519 , 12967 ,13094,13496,14504,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258,15546,14740,13251,18612,18057,19313,17408,15802
86,Philippines, 57034 , 63756 , 63596 , 61022 , 63457 , 53535 , 50984 , 55876 , 49117 ,34466,31026,42343,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173,57011,57327,54446,49996,56478,53287,49147,47258
