,Region and country of birth,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
100,Indonesia,"3,679","3,032","2,856","2,603","2,731","2,139","2,084","2,129","1,914","1,756"
101,Iran,"18,553","14,182","14,822","12,916","12,863","11,615","13,114","13,298","13,791","10,116"
102,Iraq,"12,110","19,855","21,133","20,369","9,552","19,153","21,107","18,904","14,203","14,351"
103,Ireland,"1,637","1,507","1,371","1,514","1,626","1,605","1,607","1,759","1,485","1,401"
104,Israel,"5,612","4,515","3,826","4,153","3,996","3,805","3,965","4,142","3,802","3,706"
105,Italy,"2,892","2,579","2,443","2,673","2,960","3,298","3,544","4,078","3,655","3,329"
106,Jamaica,"21,783","19,825","19,662","20,705","19,400","19,026","17,642","23,350","21,905","20,347"
107,Japan,"7,690","6,264","6,161","6,061","5,925","5,545","5,395","5,207","4,635","4,317"
108,Jordan,"4,282","3,868","3,876","4,099","4,188","5,187","4,664","5,269","5,264","5,322"
109,Kazakhstan,"1,562","1,282","1,235","1,202","1,241","1,221","1,201","1,310","1,377","1,378"
110,Kenya,"9,880","7,421","7,762","7,043","6,123","5,884","5,602","6,274","6,957","7,190"
111,Kiribati,10,6,D,6,3,6,4,9,D,D
112,"Korea, North",67,35,36,49,48,142,55,47,32,41
113,"Korea, South 1","25,859","22,227","22,824","20,846","23,166","20,423","17,138","21,801","19,194","17,676"
114,Kosovo,-,355,670,782,839,758,814,"1,020","1,014",886
115,Kuwait,"1,124","1,037",973,"1,044",937,"1,057","1,055","1,186","1,177","1,090"
116,Kyrgyzstan,574,507,542,648,652,707,790,847,715,908
117,Laos,"1,688","1,200",956,949,923,806,917,856,685,863
118,Latvia,444,435,426,436,424,384,480,391,359,356
119,Lebanon,"3,831","3,487","3,295","2,879","2,783","3,245","2,813","2,971","2,818","2,581"
120,Lesotho,14,23,25,17,20,13,23,19,24,12
121,Liberia,"7,641","4,837","4,151","4,109","3,334","3,874","3,795","3,619","4,155","3,101"
122,Libya,296,355,357,315,376,524,734,642,780,499
123,Lithuania,"1,069",985,936,924,854,747,750,735,645,658
124,Luxembourg,30,22,24,19,40,26,27,34,33,30
125,Macau,158,143,130,120,106,105,99,109,109,91
126,Macedonia,"1,128",963,"1,078",906,895,960,"1,060","1,262","1,027","1,082"
127,Madagascar,71,80,83,79,95,86,72,88,60,79
128,Malawi,164,164,123,192,159,172,160,205,228,257
129,Malaysia,"2,014","1,714","2,273","2,605","2,477","2,622","2,749","3,382","4,109","3,051"
130,Maldives,6,5,3,3,5,13,8,11,5,D
131,Mali,576,528,629,734,667,604,587,598,544,488
132,Malta,58,74,51,62,43,39,58,65,75,58
133,Marshall Islands,48,37,38,50,46,56,32,32,23,23
134,Mauritania,597,495,393,410,354,320,298,317,287,212
135,Mauritius,110,84,101,77,83,81,96,110,96,67
136,Mexico,"164,920","139,120","143,446","146,406","135,028","134,052","158,619","174,534","170,581","161,858"
137,"Micronesia, Federated States",16,10,9,13,4,5,6,11,6,19
138,Moldova,"2,295","1,981","2,258","2,021","2,485","2,341","2,496","2,929","2,480","2,206"
139,Monaco,4,12,6,5,8,8,10,11,14,13
140,Mongolia,831,594,774,691,729,651,644,750,661,636
141,Montenegro,-,120,204,265,265,289,251,387,323,299
142,Montserrat,43,27,30,27,-,38,14,14,12,20
143,Morocco,"5,447","5,013","4,399","3,656","3,336","3,605","3,710","4,586","4,229","3,077"
144,Mozambique,66,53,60,94,73,71,107,101,96,100
145,Namibia,53,60,43,59,57,44,86,87,130,75
146,Nepal,"4,514","7,115","10,166","11,312","13,046","12,357","12,926","12,851","11,610","11,953"
147,Netherlands,"1,499","1,321","1,085","1,091","1,142","1,195","1,309","1,319","1,056",998
148,Netherlands Antilles (former),97,77,86,106,128,45,22,18,9,7
149,New Caledonia,13,6,5,3,6,6,9,5,4,6
150,New Zealand,947,919,803,814,921,796,855,846,798,719
151,Nicaragua,"4,137","3,565","3,401","3,046","3,048","2,886","3,324","3,486","3,072","3,061"
152,Niger,183,96,96,48,37,71,55,119,116,93
153,Nigeria,"15,253","13,376","11,824","13,575","13,840","12,828","11,542","14,380","13,539","13,952"
154,Norway,407,334,339,276,335,271,310,362,290,284
155,Oman,74,63,60,74,73,90,85,116,104,110
156,Pakistan,"21,555","18,258","15,546","14,740","13,251","18,612","18,057","19,313","17,408","15,802"
