,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
St. Vincent &  the Grenadines,279.0,324.0,254.0,328.0,533.0,477.0,1005.0,737.0,415.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stateless or not reported,14600.0,5789.0,244.0,409.0,583.0,6375.0,108863.0,49698.0,17033.0,78390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,68.0,79.0,99.0,129.0,138.0,177.0,258.0,216.0,174.0,269.0,514.0,739.0,1012.0,839.0,1104.0,1551.0,2587.0,2785.0,2893.0,2855.0,2885.0,2444.0,2291.0,1924.0,1482.0,1740.0,1776.0,1348.0,1611.0
Suriname,33.0,34.0,45.0,26.0,90.0,58.0,129.0,59.0,42.0,111.0,161.0,111.0,119.0,120.0,97.0,125.0,222.0,159.0,202.0,198.0,161.0,194.0,189.0,160.0,127.0,183.0,164.0,143.0,176.0
Swaziland,3.0,8.0,4.0,4.0,2.0,5.0,3.0,1.0,8.0,2.0,11.0,3.0,8.0,7.0,5.0,5.0,10.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,166.0,208.0,186.0,228.0,317.0,261.0,335.0,201.0,197.0,343.0,369.0,321.0,819.0,948.0,1016.0,980.0,984.0,786.0,1207.0,940.0,774.0,872.0,798.0,783.0,724.0,885.0,795.0,708.0,797.0
Switzerland,302.0,357.0,310.0,393.0,574.0,451.0,505.0,290.0,296.0,472.0,652.0,516.0,462.0,430.0,487.0,541.0,539.0,501.0,658.0,529.0,484.0,427.0,427.0,452.0,388.0,411.0,375.0,333.0,436.0
Syria,1146.0,1480.0,1200.0,1312.0,1809.0,1776.0,2148.0,1370.0,1125.0,1855.0,2793.0,2151.0,2278.0,1881.0,2385.0,2252.0,2395.0,1799.0,2105.0,2484.0,2029.0,1981.0,1814.0,2196.0,1832.0,2004.0,2043.0,1789.0,2475.0
Taiwan,6895.0,10876.0,6408.0,7384.0,10757.0,10007.0,12431.0,6489.0,5317.0,11349.0,13163.0,9052.0,8599.0,6742.0,7889.0,8295.0,8819.0,7486.0,8711.0,7606.0,5621.0,5065.0,4573.0,5255.0,4326.0,4420.0,4043.0,4151.0,4576.0
Tajikistan,0.0,0.0,0.0,2.0,1.0,1.0,43.0,24.0,39.0,170.0,406.0,368.0,234.0,127.0,117.0,116.0,147.0,109.0,168.0,156.0,178.0,155.0,142.0,168.0,146.0,156.0,212.0,222.0,261.0
Tanzania,187.0,221.0,180.0,187.0,227.0,192.0,347.0,171.0,145.0,238.0,419.0,333.0,345.0,295.0,348.0,363.0,490.0,356.0,464.0,567.0,466.0,516.0,543.0,647.0,525.0,553.0,639.0,547.0,561.0
Thailand,1145.0,1379.0,962.0,1169.0,1645.0,1675.0,3399.0,1808.0,1825.0,3653.0,5197.0,4088.0,4013.0,3636.0,3779.0,4314.0,4583.0,4438.0,6930.0,4962.0,4112.0,5299.0,6585.0,5544.0,4805.0,5213.0,5211.0,4672.0,5324.0
Togo,13.0,16.0,13.0,17.0,23.0,19.0,29.0,17.0,14.0,31.0,58.0,57.0,113.0,153.0,204.0,291.0,536.0,473.0,673.0,1132.0,1253.0,1523.0,1448.0,1380.0,1141.0,1171.0,1099.0,907.0,893.0
Tonga,100.0,89.0,86.0,86.0,170.0,213.0,257.0,330.0,291.0,412.0,365.0,301.0,246.0,182.0,207.0,246.0,235.0,251.0,421.0,269.0,208.0,251.0,306.0,371.0,473.0,352.0,337.0,262.0,319.0
Trinidad & Tobago,3198.0,3033.0,2602.0,3293.0,4905.0,4484.0,8619.0,5273.0,3619.0,6884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7239.0,4474.0,4814.0,3774.0,3958.0,4832.0,6612.0,4514.0,7305.0,5726.0,4740.0,5014.0,5596.0,5784.0,4147.0,4869.0,4867.0,4504.0,4378.0
Tunisia,55.0,78.0,68.0,123.0,85.0,112.0,129.0,80.0,67.0,97.0,167.0,157.0,165.0,119.0,192.0,226.0,315.0,299.0,390.0,479.0,407.0,377.0,345.0,362.0,310.0,314.0,352.0,344.0,306.0
Turkey,1214.0,1349.0,1124.0,1229.0,1655.0,1559.0,1885.0,1341.0,1120.0,1491.0,2069.0,1792.0,1924.0,1724.0,1964.0,2231.0,2742.0,2009.0,2771.0,3219.0,3213.0,3100.0,3329.0,3390.0,2925.0,3150.0,3201.0,3108.0,3275.0
Turkmenistan,0.0,0.0,0.0,0.0,1.0,2.0,8.0,5.0,6.0,16.0,73.0,60.0,65.0,43.0,58.0,59.0,75.0,58.0,99.0,91.0,138.0,146.0,136.0,160.0,110.0,153.0,102.0,109.0,117.0
Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,39.0,18.0,15.0,16.0,21.0,30.0,14.0,33.0,21.0,20.0,36.0,49.0,47.0,26.0,33.0,31.0,26.0,40.0
Tuvalu,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,4.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. possessions,52.0,53.0,51.0,76.0,105.0,134.0,136.0,35.0,61.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,124.0,131.0,118.0,133.0,172.0,239.0,267.0,195.0,134.0,199.0,429.0,296.0,321.0,279.0,327.0,340.0,477.0,344.0,541.0,489.0,637.0,838.0,820.0,763.0,724.0,817.0,823.0,742.0,703.0
Ukraine,0.0,0.0,11.0,173.0,793.0,3375.0,8392.0,6415.0,7173.0,11816.0,16833.0,11819.0,12106.0,8236.0,8069.0,9343.0,10184.0,8594.0,10992.0,9123.0,7345.0,8489.0,9459.0,8624.0,6984.0,8926.0,8374.0,6644.0,6990.0
United Arab Emirates,6.0,2.0,7.0,13.0,20.0,11.0,10.0,5.0,7.0,17.0,79.0,84.0,109.0,112.0,168.0,197.0,277.0,253.0,328.0,383.0,404.0,425.0,431.0,499.0,435.0,443.0,473.0,475.0,542.0
United Kingdom,8286.0,9935.0,7800.0,10158.0,15753.0,14823.0,20052.0,11378.0,9351.0,13869.0,11704.0,8038.0,8194.0,6717.0,7785.0,8087.0,9104.0,7752.0,12095.0,10060.0,8401.0,9246.0,9145.0,9459.0,8906.0,10095.0,9562.0,9049.0,10530.0
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,38.0,42.0,37.0,36.0,29.0,57.0,41.0,67.0,51.0,45.0,45.0,60.0,55.0,31.0,75.0,95.0,84.0,122.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2623.0,1449.0,944.0,957.0,1358.0,1270.0,880.0,648.0,1134.0,940.0,326.0,337.0,359.0,201.0,142.0,89.0,26.0,206.0,634.0
Uruguay,433.0,400.0,371.0,577.0,670.0,678.0,1289.0,599.0,385.0,560.0,688.0,471.0,485.0,352.0,412.0,475.0,579.0,496.0,924.0,634.0,585.0,751.0,849.0,933.0,812.0,902.0,1044.0,1028.0,1073.0
Uzbekistan,0.0,0.0,0.0,0.0,10.0,62.0,436.0,329.0,291.0,1220.0,3078.0,2492.0,2541.0,1480.0,1224.0,1588.0,1821.0,1148.0,1377.0,1513.0,1472.0,2463.0,3071.0,2482.0,1725.0,1660.0,1685.0,1498.0,1532.0
Vanuatu,0.0,0.0,2.0,0.0,10.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,751.0,747.0,730.0,829.0,1095.0,1082.0,2502.0,1156.0,957.0,2183.0,2418.0,2103.0,2156.0,1952.0,2385.0,2659.0,4476.0,3575.0,6557.0,4735.0,5243.0,6856.0,7404.0,7648.0,6871.0,8192.0,7633.0,6463.0,8172.0
Vietnam,22027.0,29603.0,18357.0,22427.0,29486.0,31432.0,47625.0,33349.0,29125.0,51055.0,55769.0,41462.0,36757.0,25933.0,27480.0,32926.0,29917.0,27921.0,39584.0,31168.0,19313.0,20922.0,23490.0,24277.0,18837.0,21976.0,24848.0,19323.0,21082.0
"Virgin Islands, British",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,48.0,41.0,45.0,49.0,59.0,46.0,42.0,54.0
Yemen,0.0,590.0,528.0,706.0,772.0,502.0,844.0,443.0,243.0,459.0,832.0,807.0,882.0,589.0,822.0,814.0,989.0,734.0,1080.0,1243.0,1186.0,1320.0,1452.0,1355.0,1160.0,1284.0,1490.0,1445.0,1544.0
Yugoslavia 2,1640.0,1642.0,1452.0,2158.0,2765.0,2212.0,2895.0,1148.0,927.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,65.0,111.0,65.0,113.0,110.0,108.0,113.0,74.0,68.0,118.0,227.0,158.0,168.0,134.0,180.0,159.0,239.0,212.0,290.0,289.0,317.0,337.0,338.0,352.0,318.0,370.0,404.0,401.0,402.0
Zimbabwe,92.0,91.0,90.0,118.0,106.0,116.0,126.0,78.0,52.0,112.0,274.0,206.0,231.0,210.0,225.0,260.0,322.0,312.0,413.0,489.0,546.0,715.0,691.0,658.0,734.0,852.0,843.0,675.0,709.0
