,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei,7.0,12.0,12.0,8.0,11.0,7.0,6.0,3.0,8.0,7.0,15.0,8.0,12.0,9.0,10.0,13.0,13.0,20.0,25.0,14.0,15.0,11.0,17.0,11.0,15.0,13.0,10.0,11.0,15.0
Bulgaria,160.0,225.0,171.0,165.0,250.0,240.0,493.0,288.0,226.0,369.0,845.0,1169.0,1310.0,1599.0,2487.0,2906.0,3488.0,2621.0,3213.0,3211.0,3123.0,3103.0,2964.0,2646.0,2226.0,2336.0,2086.0,1887.0,1825.0
Burkina Faso,2.0,2.0,1.0,5.0,7.0,7.0,9.0,6.0,7.0,7.0,16.0,10.0,7.0,12.0,19.0,26.0,51.0,37.0,48.0,90.0,112.0,163.0,166.0,230.0,235.0,307.0,322.0,303.0,347.0
Burma,597.0,827.0,454.0,469.0,757.0,780.0,1085.0,484.0,373.0,676.0,1129.0,1076.0,1069.0,905.0,1177.0,1360.0,1486.0,1058.0,1383.0,1447.0,2399.0,2321.0,2384.0,3489.0,4225.0,6045.0,6956.0,6825.0,7858.0
Burundi,3.0,1.0,10.0,4.0,10.0,6.0,4.0,5.0,2.0,7.0,13.0,15.0,28.0,21.0,59.0,56.0,71.0,95.0,76.0,90.0,145.0,168.0,209.0,379.0,415.0,437.0,406.0,266.0,284.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,974.0,1037.0,1014.0,979.0,1054.0,1207.0,1355.0,1429.0
Cambodia,3525.0,4786.0,2749.0,3149.0,4125.0,3605.0,5077.0,4936.0,5321.0,6975.0,5275.0,3460.0,3113.0,3135.0,3975.0,4806.0,4778.0,4197.0,5869.0,4673.0,3756.0,4589.0,6189.0,4161.0,2866.0,2878.0,2756.0,2184.0,2467.0
Cameroon,38.0,48.0,75.0,105.0,171.0,164.0,195.0,129.0,104.0,140.0,285.0,299.0,461.0,534.0,575.0,661.0,771.0,611.0,967.0,1098.0,1519.0,2172.0,2459.0,2541.0,2120.0,3170.0,3088.0,2416.0,2319.0
Canada,3644.0,4441.0,4067.0,6662.0,9128.0,7949.0,10324.0,6094.0,6012.0,10274.0,11322.0,7528.0,7581.0,6399.0,7682.0,7815.0,9607.0,8473.0,12387.0,9753.0,8539.0,9318.0,9077.0,8690.0,8385.0,9492.0,9346.0,7829.0,9379.0
Cape Verde,272.0,178.0,226.0,216.0,518.0,524.0,457.0,347.0,491.0,806.0,732.0,577.0,683.0,429.0,635.0,933.0,1126.0,1223.0,1265.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
